desc	dist_to_obj	dist_to_recep	dist_obj_to_recep	agent_facing	intent
turn right then approach the couch on your right then hang left and turn right again and walk forward towards the dining table then turn right and face the dining table pick up the book on the table turn to the right then hang left and head back towards the couch turn left and face the couch	4.67	2.55	2.43	-0.982	4
turn right then approach the couch on your right then hang left and turn right again and walk forward towards the dining table then turn right and face the dining table pick up the book on the table turn to the right then hang left and head back towards the couch turn left and face the couch put the book on the couch	4.67	2.55	2.43	-0.982	5
pick up the book on the table turn to the right then hang left and head back towards the couch turn left and face the couch	0.22	2.43	2.41	0.7	6
pick up the book on the table turn to the right then hang left and head back towards the couch turn left and face the couch put the book on the couch	0.32	2.43	2.58	0.72	7
turn to the right then hang left and head back towards the couch turn left and face the couch put the book on the couch	0.0	2.45	-1	-0.66	8
turn right walk towards the chair turn right walk towards the couch turn left take a step turn right walk across room turn right take a few steps turn right to face the table pick up the book that is on the table	4.67	-1	-1	-0.982	3
turn right walk towards the chair turn right walk towards the couch turn left take a step turn right walk across room turn right take a few steps turn right to face the table pick up the book that is on the table turn right walk forward turn left walk past couch turn left take a few steps turn left to face couch	4.67	2.55	2.43	-0.982	4
turn right walk towards the chair turn right walk towards the couch turn left take a step turn right walk across room turn right take a few steps turn right to face the table pick up the book that is on the table turn right walk forward turn left walk past couch turn left take a few steps turn left to face couch put the book on to the couch	4.67	2.55	2.43	-0.982	5
pick up the book that is on the table turn right walk forward turn left walk past couch turn left take a few steps turn left to face couch	0.48	2.43	2.56	0.51	6
pick up the book that is on the table turn right walk forward turn left walk past couch turn left take a few steps turn left to face couch put the book on to the couch	0.03	2.43	2.43	0.9	7
turn right walk forward turn left walk past couch turn left take a few steps turn left to face couch put the book on to the couch	0.0	2.45	4.73	-0.96	8
walk across the room to the dining table in front of the book grab the book from the table	4.67	-1	-1	-0.982	3
walk across the room to the dining table in front of the book grab the book from the table walk to the sofa in front of the coffee table	4.67	2.55	2.43	-0.982	4
walk across the room to the dining table in front of the book grab the book from the table walk to the sofa in front of the coffee table put the book on the sofa	4.67	2.55	2.43	-0.982	5
grab the book from the table walk to the sofa in front of the coffee table	0.36	2.43	2.35	0.79	6
grab the book from the table walk to the sofa in front of the coffee table put the book on the sofa	0.36	2.43	2.26	-0.43	14
walk to the sofa in front of the coffee table put the book on the sofa	0.0	2.34	4.41	0.23	8
move a book from the dining table to the couch	1.12	3.38	2.43	-0.7923	5
move a book from the dining table to the couch	1.12	1.12	0.47	-0.7923	9
move a book from the dining table to the couch	0.19	2.43	2.4	0.96	7
move a book from the dining table to the couch	0.49	0.09	0.3	0.61	10
move a book from table to couch	1.12	3.38	2.43	-0.7923	5
move a book from table to couch	1.12	1.12	0.31	-0.7923	9
move a book from table to couch	0.13	2.43	2.5	1.0	7
move a book from table to couch	0.14	0.09	0.01	0.56	10
move a book to a couch	1.12	3.38	2.43	-0.7923	5
move a book to a couch	1.12	1.12	0.33	-0.7923	9
move a book to a couch	0.21	2.43	2.3	-0.64	14
move a book to a couch	0.3	0.47	0.16	0.65	10
turn around move forward a few feet turn right to face the book on the dining table	-1	-1	-1	-0.7923	0
pick up the book on the table	0.18	2.74	-1	-0.15	11
bring the book forward past the table to the front of the couch be sure to turn around to face the couch	-1	2.43	-1	1	0
put the book on the couch	-1	0.25	5.93	-0.39	12
turn around and face the table on the right	-1	-1	-1	-0.7923	0
pick up the book toward the right side	0.41	1.38	-1	0.7	1
carry the book and turn to the right and then left to go past the couch turn left and then face the couch on the left	-1	2.43	-1	1	0
place the book on the couch in the middle	-1	0.35	3.28	0.59	2
turn around and face the table on the right	-1	-1	-1	-0.7923	0
pick up the book from the right side of the table	0.18	-1	7.92	0.88	1
carry the book and turn to the right and left around the table move forward to turn left after the couch face the couch on the left	-1	2.43	-1	1	0
place the book on the couch in the middle	-1	0.5	-1	0.91	2
turn around move forward a few feet turn right to face the book on the dining table pick up the book on the table	1.12	-1	-1	-0.7923	3
turn around move forward a few feet turn right to face the book on the dining table pick up the book on the table bring the book forward past the table to the front of the couch be sure to turn around to face the couch	1.12	3.38	2.43	-0.7923	4
turn around move forward a few feet turn right to face the book on the dining table pick up the book on the table bring the book forward past the table to the front of the couch be sure to turn around to face the couch put the book on the couch	1.12	3.38	2.43	-0.7923	5
pick up the book on the table bring the book forward past the table to the front of the couch be sure to turn around to face the couch	0.31	2.43	2.49	0.55	6
pick up the book on the table bring the book forward past the table to the front of the couch be sure to turn around to face the couch put the book on the couch	0.1	2.43	2.63	0.89	7
bring the book forward past the table to the front of the couch be sure to turn around to face the couch put the book on the couch	0.0	2.44	-1	0.58	8
turn around and face the table on the right pick up the book toward the right side	1.12	-1	-1	-0.7923	3
turn around and face the table on the right pick up the book toward the right side carry the book and turn to the right and then left to go past the couch turn left and then face the couch on the left	1.12	3.38	2.43	-0.7923	4
turn around and face the table on the right pick up the book toward the right side carry the book and turn to the right and then left to go past the couch turn left and then face the couch on the left place the book on the couch in the middle	1.12	3.38	2.43	-0.7923	5
pick up the book toward the right side carry the book and turn to the right and then left to go past the couch turn left and then face the couch on the left	0.34	2.43	2.37	-0.54	15
pick up the book toward the right side carry the book and turn to the right and then left to go past the couch turn left and then face the couch on the left place the book on the couch in the middle	0.12	2.43	2.37	-0.24	14
carry the book and turn to the right and then left to go past the couch turn left and then face the couch on the left place the book on the couch in the middle	0.0	2.28	-1	0.55	8
turn around and face the table on the right pick up the book from the right side of the table	1.12	-1	-1	-0.7923	3
turn around and face the table on the right pick up the book from the right side of the table carry the book and turn to the right and left around the table move forward to turn left after the couch face the couch on the left	1.12	3.38	2.43	-0.7923	4
turn around and face the table on the right pick up the book from the right side of the table carry the book and turn to the right and left around the table move forward to turn left after the couch face the couch on the left place the book on the couch in the middle	1.12	3.38	2.43	-0.7923	5
pick up the book from the right side of the table carry the book and turn to the right and left around the table move forward to turn left after the couch face the couch on the left	0.32	2.43	2.6	0.96	6
pick up the book from the right side of the table carry the book and turn to the right and left around the table move forward to turn left after the couch face the couch on the left place the book on the couch in the middle	0.32	2.43	2.24	0.97	7
carry the book and turn to the right and left around the table move forward to turn left after the couch face the couch on the left place the book on the couch in the middle	0.0	2.34	3.32	-0.58	8
put a book on the couch	4.13	2.37	2.43	0.1502	5
put a book on the couch	4.13	4.13	0.22	0.1502	9
put a book on the couch	0.03	2.43	2.42	0.56	7
put a book on the couch	0.4	0.1	0.37	0.93	10
pick up the green book and put it on the black couch	4.13	2.37	2.43	0.1502	5
pick up the green book and put it on the black couch	4.13	4.13	0.06	0.1502	9
pick up the green book and put it on the black couch	0.22	2.43	2.35	0.08	14
pick up the green book and put it on the black couch	0.21	0.34	0.37	-0.11	13
put a book on a sofa	4.13	2.37	2.43	0.1502	5
put a book on a sofa	4.13	4.13	0.25	0.1502	9
put a book on a sofa	0.19	2.43	2.5	0.94	7
put a book on a sofa	0.31	0.16	0.02	0.79	10
turn to your left and go past the couch to the end of the room turn right at the lamp and go to the first chair on the left side of the table	-1	-1	-1	0.1502	0
pick up the book on the table in front of the chair	0.14	1.35	1.64	0.7	1
turn to your right and go back around the table into the living room then turn left between the couch and the coffee table and face the couch to your left	-1	2.43	-1	1	0
place the book on the left cushion of the couch	7.06	0.37	-1	0.31	12
turn around and turn left going between the black table and the black couch stay to the right of the dining set with blue chairs	-1	-1	-1	0.1502	0
pick up the green book from the dining set with blue chairs	0.24	-1	-1	-0.58	11
circle right back around the dining set with blue chairs and pass the black table on your right turning left after the black couch	-1	2.43	-1	1	0
put the green book on the left side of the black couch	2.24	0.1	-1	-0.03	12
walk to the dining room table to face a book with a rhinoceros on it	-1	-1	-1	0.1502	0
pick up the book with a rhino on it from the dining room table	0.37	6.73	7.89	0.81	1
walk to face the sofa	-1	2.43	-1	1	0
put the book upside down on the sofa	-1	0.23	-1	0.36	12
turn to your left and go past the couch to the end of the room turn right at the lamp and go to the first chair on the left side of the table pick up the book on the table in front of the chair	4.13	-1	-1	0.1502	3
turn to your left and go past the couch to the end of the room turn right at the lamp and go to the first chair on the left side of the table pick up the book on the table in front of the chair turn to your right and go back around the table into the living room then turn left between the couch and the coffee table and face the couch to your left	4.13	2.37	2.43	0.1502	4
turn to your left and go past the couch to the end of the room turn right at the lamp and go to the first chair on the left side of the table pick up the book on the table in front of the chair turn to your right and go back around the table into the living room then turn left between the couch and the coffee table and face the couch to your left place the book on the left cushion of the couch	4.13	2.37	2.43	0.1502	5
pick up the book on the table in front of the chair turn to your right and go back around the table into the living room then turn left between the couch and the coffee table and face the couch to your left	0.32	2.43	2.26	-0.13	15
pick up the book on the table in front of the chair turn to your right and go back around the table into the living room then turn left between the couch and the coffee table and face the couch to your left place the book on the left cushion of the couch	0.02	2.43	2.55	0.83	7
turn to your right and go back around the table into the living room then turn left between the couch and the coffee table and face the couch to your left place the book on the left cushion of the couch	0.0	2.62	2.77	0.18	8
turn around and turn left going between the black table and the black couch stay to the right of the dining set with blue chairs pick up the green book from the dining set with blue chairs	4.13	-1	-1	0.1502	3
turn around and turn left going between the black table and the black couch stay to the right of the dining set with blue chairs pick up the green book from the dining set with blue chairs circle right back around the dining set with blue chairs and pass the black table on your right turning left after the black couch	4.13	2.37	2.43	0.1502	4
turn around and turn left going between the black table and the black couch stay to the right of the dining set with blue chairs pick up the green book from the dining set with blue chairs circle right back around the dining set with blue chairs and pass the black table on your right turning left after the black couch put the green book on the left side of the black couch	4.13	2.37	2.43	0.1502	5
pick up the green book from the dining set with blue chairs circle right back around the dining set with blue chairs and pass the black table on your right turning left after the black couch	0.26	2.43	2.49	-0.44	15
pick up the green book from the dining set with blue chairs circle right back around the dining set with blue chairs and pass the black table on your right turning left after the black couch put the green book on the left side of the black couch	0.04	2.43	2.42	0.05	14
circle right back around the dining set with blue chairs and pass the black table on your right turning left after the black couch put the green book on the left side of the black couch	0.0	2.4	-1	-0.23	8
walk to the dining room table to face a book with a rhinoceros on it pick up the book with a rhino on it from the dining room table	4.13	-1	-1	0.1502	3
walk to the dining room table to face a book with a rhinoceros on it pick up the book with a rhino on it from the dining room table walk to face the sofa	4.13	2.37	2.43	0.1502	4
walk to the dining room table to face a book with a rhinoceros on it pick up the book with a rhino on it from the dining room table walk to face the sofa put the book upside down on the sofa	4.13	2.37	2.43	0.1502	5
pick up the book with a rhino on it from the dining room table walk to face the sofa	0.4	2.43	2.56	0.81	6
pick up the book with a rhino on it from the dining room table walk to face the sofa put the book upside down on the sofa	0.28	2.43	2.53	0.73	7
walk to face the sofa put the book upside down on the sofa	0.0	2.49	-1	0.41	8
put a book on the blue couch	1.09	2.72	2.24	0.1644	5
put a book on the blue couch	1.09	1.09	0.25	0.1644	9
put a book on the blue couch	0.36	2.24	2.37	0.76	7
put a book on the blue couch	0.31	0.09	0.46	1.0	10
move the book from the white sofa to the grey sofa	1.09	2.72	2.24	0.1644	5
move the book from the white sofa to the grey sofa	1.09	1.09	0.0	0.1644	9
move the book from the white sofa to the grey sofa	0.15	2.24	2.07	-0.68	14
move the book from the white sofa to the grey sofa	0.47	0.01	0.2	0.44	13
move the book from the chair to the couch	1.09	2.72	2.24	0.1644	5
move the book from the chair to the couch	1.09	1.09	0.14	0.1644	9
move the book from the chair to the couch	0.36	2.24	2.34	-0.42	14
move the book from the chair to the couch	0.08	0.06	0.44	-0.62	13
put a book on a couch	1.09	2.72	2.24	0.1644	5
put a book on a couch	1.09	1.09	0.35	0.1644	9
put a book on a couch	0.22	2.24	2.2	-0.79	14
put a book on a couch	0.41	0.41	0.37	0.95	10
move a book from the chair to the couch	1.09	2.72	2.24	0.1644	5
move a book from the chair to the couch	1.09	1.09	0.21	0.1644	9
move a book from the chair to the couch	0.09	2.24	2.2	-0.29	14
move a book from the chair to the couch	0.05	0.15	0.29	-0.66	13
move a book from the chair to the couch	1.09	2.72	2.24	0.1644	5
move a book from the chair to the couch	1.09	1.09	0.09	0.1644	9
move a book from the chair to the couch	0.21	2.24	2.11	0.67	7
move a book from the chair to the couch	0.19	0.09	0.47	-0.09	13
turn right and move to the book on the chair	-1	-1	-1	0.1644	0
pick up the book on the chair	0.39	6.57	-1	0.8	1
turn left and bring the book to the blue couch	-1	2.24	-1	1	0
put the book on the blue couch to the left of the computer	4.87	0.13	-1	0.71	2
turn right to the sofa	-1	-1	-1	0.1644	0
grab the book on the sofa	0.24	-1	0.18	0.44	11
turn left walk to the grey sofa on the right	-1	2.24	-1	1	0
put the book down on the sofa by the computer	5.46	0.44	5.85	0.82	2
turn around to face the chair	-1	-1	-1	0.1644	0
pick up the book on the chair	0.43	-1	5.72	0.17	11
move to the left to face the middle of the couch	-1	2.24	-1	1	0
put the book on the couch	-1	0.11	6.51	0.62	2
turn to the right and face the striped chair	-1	-1	-1	0.1644	0
pick the book up from the chair	0.13	-1	-1	-0.92	11
go left and turn to the right to face the couch	-1	2.24	-1	1	0
put the book on the couch to the left of the computer	2.64	0.29	4.86	0.27	12
walk forward a couple steps stop to face the chair on the right	-1	-1	-1	0.1644	0
pick up the book that is on the chair	0.23	3.12	-1	0.6	1
turn left walk forward stop to face the couch on the right	-1	2.24	-1	1	0
put the book on the couch	6.59	0.12	-1	0.96	2
turn to the right to find the stripped chair	-1	-1	-1	0.1644	0
pick up the book from the chair	0.3	3.69	-1	-0.29	11
take the book turn to the left and find the blue couch	-1	2.24	-1	1	0
place the book on the couch to the left of the laptop	-1	0.22	7.4	0.54	2
turn right and move to the book on the chair pick up the book on the chair	1.09	-1	-1	0.1644	3
turn right and move to the book on the chair pick up the book on the chair turn left and bring the book to the blue couch	1.09	2.72	2.24	0.1644	4
turn right and move to the book on the chair pick up the book on the chair turn left and bring the book to the blue couch put the book on the blue couch to the left of the computer	1.09	2.72	2.24	0.1644	5
pick up the book on the chair turn left and bring the book to the blue couch	0.2	2.24	2.11	0.95	6
pick up the book on the chair turn left and bring the book to the blue couch put the book on the blue couch to the left of the computer	0.05	2.24	2.17	0.87	7
turn left and bring the book to the blue couch put the book on the blue couch to the left of the computer	0.0	2.3	-1	-0.93	8
turn right to the sofa grab the book on the sofa	1.09	-1	-1	0.1644	3
turn right to the sofa grab the book on the sofa turn left walk to the grey sofa on the right	1.09	2.72	2.24	0.1644	4
turn right to the sofa grab the book on the sofa turn left walk to the grey sofa on the right put the book down on the sofa by the computer	1.09	2.72	2.24	0.1644	5
grab the book on the sofa turn left walk to the grey sofa on the right	0.02	2.24	2.41	0.9	6
grab the book on the sofa turn left walk to the grey sofa on the right put the book down on the sofa by the computer	0.34	2.24	2.25	0.92	7
turn left walk to the grey sofa on the right put the book down on the sofa by the computer	0.0	2.13	-1	-0.57	8
turn around to face the chair pick up the book on the chair	1.09	-1	-1	0.1644	3
turn around to face the chair pick up the book on the chair move to the left to face the middle of the couch	1.09	2.72	2.24	0.1644	4
turn around to face the chair pick up the book on the chair move to the left to face the middle of the couch put the book on the couch	1.09	2.72	2.24	0.1644	5
pick up the book on the chair move to the left to face the middle of the couch	0.31	2.24	2.28	-0.85	15
pick up the book on the chair move to the left to face the middle of the couch put the book on the couch	0.07	2.24	2.4	0.86	7
move to the left to face the middle of the couch put the book on the couch	0.0	2.43	3.46	0.64	8
turn to the right and face the striped chair pick the book up from the chair	1.09	-1	-1	0.1644	3
turn to the right and face the striped chair pick the book up from the chair go left and turn to the right to face the couch	1.09	2.72	2.24	0.1644	4
turn to the right and face the striped chair pick the book up from the chair go left and turn to the right to face the couch put the book on the couch to the left of the computer	1.09	2.72	2.24	0.1644	5
pick the book up from the chair go left and turn to the right to face the couch	0.3	2.24	2.43	0.99	6
pick the book up from the chair go left and turn to the right to face the couch put the book on the couch to the left of the computer	0.32	2.24	2.2	-0.57	14
go left and turn to the right to face the couch put the book on the couch to the left of the computer	0.0	2.27	-1	-0.28	8
walk forward a couple steps stop to face the chair on the right pick up the book that is on the chair	1.09	-1	-1	0.1644	3
walk forward a couple steps stop to face the chair on the right pick up the book that is on the chair turn left walk forward stop to face the couch on the right	1.09	2.72	2.24	0.1644	4
walk forward a couple steps stop to face the chair on the right pick up the book that is on the chair turn left walk forward stop to face the couch on the right put the book on the couch	1.09	2.72	2.24	0.1644	5
pick up the book that is on the chair turn left walk forward stop to face the couch on the right	0.48	2.24	2.39	0.58	6
pick up the book that is on the chair turn left walk forward stop to face the couch on the right put the book on the couch	0.27	2.24	2.31	0.57	7
turn left walk forward stop to face the couch on the right put the book on the couch	0.0	2.28	7.28	-0.57	8
turn to the right to find the stripped chair pick up the book from the chair	1.09	-1	-1	0.1644	3
turn to the right to find the stripped chair pick up the book from the chair take the book turn to the left and find the blue couch	1.09	2.72	2.24	0.1644	4
turn to the right to find the stripped chair pick up the book from the chair take the book turn to the left and find the blue couch place the book on the couch to the left of the laptop	1.09	2.72	2.24	0.1644	5
pick up the book from the chair take the book turn to the left and find the blue couch	0.25	2.24	2.2	0.58	6
pick up the book from the chair take the book turn to the left and find the blue couch place the book on the couch to the left of the laptop	0.18	2.24	2.13	0.64	7
take the book turn to the left and find the blue couch place the book on the couch to the left of the laptop	0.0	2.42	-1	0.39	8
collect a book to read on the sofa	0.96	2.05	2.04	-0.2649	5
collect a book to read on the sofa	0.96	0.96	0.06	-0.2649	9
collect a book to read on the sofa	0.1	2.04	1.85	-0.31	14
collect a book to read on the sofa	0.33	0.32	0.17	-0.96	13
put a book on the couch	0.96	2.05	2.04	-0.2649	5
put a book on the couch	0.96	0.96	0.39	-0.2649	9
put a book on the couch	0.2	2.04	1.94	-0.42	14
put a book on the couch	0.19	0.4	0.07	0.69	10
move the book from the table to the couch	0.96	2.05	2.04	-0.2649	5
move the book from the table to the couch	0.96	0.96	0.17	-0.2649	9
move the book from the table to the couch	0.32	2.04	2.21	0.85	7
move the book from the table to the couch	0.36	0.06	0.5	0.57	10
turn left and face the desk in the corner of the room	-1	-1	-1	-0.2649	0
pick up the book on the desk	0.21	1.07	-1	-0.28	11
turn right and walk to the sofa then face it	-1	2.04	-1	1	0
place the book on the sofa cushion	6.83	0.46	-1	-0.64	12
turn left and take a half step to your left to stand in front of the book on the small table	-1	-1	-1	-0.2649	0
pick up the book entitled deep learning	0.16	-1	-1	-0.51	11
turn right and take a step to your right so you can walk past the couch on your left and walk to the middle of the couch to your left and face it so you are looking at the wall behind it	-1	2.04	-1	1	0
put the book entitled deep learning between the remote and the credit card on the couch	-1	0.28	5.26	0.81	2
turn left walk forward then turn right to face the table	-1	-1	-1	-0.2649	0
pick up the book that is on the table	0.1	-1	7.06	-0.68	11
turn around and walk forward then turn left and walk in front of the couch and turn to face it	-1	2.04	-1	1	0
place the book next to the remote control on the couch	-1	0.02	0.47	0.8	2
turn left and face the desk in the corner of the room pick up the book on the desk	0.96	-1	-1	-0.2649	3
turn left and face the desk in the corner of the room pick up the book on the desk turn right and walk to the sofa then face it	0.96	2.05	2.04	-0.2649	4
turn left and face the desk in the corner of the room pick up the book on the desk turn right and walk to the sofa then face it place the book on the sofa cushion	0.96	2.05	2.04	-0.2649	5
pick up the book on the desk turn right and walk to the sofa then face it	0.35	2.04	2.21	-0.14	15
pick up the book on the desk turn right and walk to the sofa then face it place the book on the sofa cushion	0.2	2.04	1.97	0.7	7
turn right and walk to the sofa then face it place the book on the sofa cushion	0.0	2.02	7.87	-0.07	8
turn left and take a half step to your left to stand in front of the book on the small table pick up the book entitled deep learning	0.96	-1	-1	-0.2649	3
turn left and take a half step to your left to stand in front of the book on the small table pick up the book entitled deep learning turn right and take a step to your right so you can walk past the couch on your left and walk to the middle of the couch to your left and face it so you are looking at the wall behind it	0.96	2.05	2.04	-0.2649	4
turn left and take a half step to your left to stand in front of the book on the small table pick up the book entitled deep learning turn right and take a step to your right so you can walk past the couch on your left and walk to the middle of the couch to your left and face it so you are looking at the wall behind it put the book entitled deep learning between the remote and the credit card on the couch	0.96	2.05	2.04	-0.2649	5
pick up the book entitled deep learning turn right and take a step to your right so you can walk past the couch on your left and walk to the middle of the couch to your left and face it so you are looking at the wall behind it	0.12	2.04	1.89	0.42	15
pick up the book entitled deep learning turn right and take a step to your right so you can walk past the couch on your left and walk to the middle of the couch to your left and face it so you are looking at the wall behind it put the book entitled deep learning between the remote and the credit card on the couch	0.35	2.04	2.01	0.13	14
turn right and take a step to your right so you can walk past the couch on your left and walk to the middle of the couch to your left and face it so you are looking at the wall behind it put the book entitled deep learning between the remote and the credit card on the couch	0.0	2.15	2.07	0.43	8
turn left walk forward then turn right to face the table pick up the book that is on the table	0.96	-1	-1	-0.2649	3
turn left walk forward then turn right to face the table pick up the book that is on the table turn around and walk forward then turn left and walk in front of the couch and turn to face it	0.96	2.05	2.04	-0.2649	4
turn left walk forward then turn right to face the table pick up the book that is on the table turn around and walk forward then turn left and walk in front of the couch and turn to face it place the book next to the remote control on the couch	0.96	2.05	2.04	-0.2649	5
pick up the book that is on the table turn around and walk forward then turn left and walk in front of the couch and turn to face it	0.23	2.04	1.9	0.73	6
pick up the book that is on the table turn around and walk forward then turn left and walk in front of the couch and turn to face it place the book next to the remote control on the couch	0.45	2.04	2.24	0.56	7
turn around and walk forward then turn left and walk in front of the couch and turn to face it place the book next to the remote control on the couch	0.0	2.04	2.78	-0.29	8
to put the book on the couch	1.3	2.75	2.03	0.1348	5
to put the book on the couch	1.3	1.3	0.15	0.1348	9
to put the book on the couch	0.19	2.03	2.02	-0.76	14
to put the book on the couch	0.31	0.16	0.45	0.67	10
place a book on top of a couch	1.3	2.75	2.03	0.1348	5
place a book on top of a couch	1.3	1.3	0.34	0.1348	9
place a book on top of a couch	0.14	2.03	1.91	-0.11	14
place a book on top of a couch	0.44	0.17	0.02	-0.42	13
move the deep learning book from the striped chair to the blue couch adjacent to the left of it	1.3	2.75	2.03	0.1348	5
move the deep learning book from the striped chair to the blue couch adjacent to the left of it	1.3	1.3	0.42	0.1348	9
move the deep learning book from the striped chair to the blue couch adjacent to the left of it	0.31	2.03	1.84	-0.09	14
move the deep learning book from the striped chair to the blue couch adjacent to the left of it	0.42	0.1	0.29	-0.92	13
turn to the right and walk to the chair	-1	-1	-1	0.1348	0
take the book off of the chair	0.38	7.39	2.39	-0.24	11
turn to the left and walk to the coffee table then turn right to face the couch	-1	2.03	-1	1	0
place the book in the middle of the couch	1.01	0.35	-1	0.72	2
turn left to face the sofa sea and walk to the sofa seat	-1	-1	-1	0.1348	0
pick up the book on top of the sofa seat	0.15	1.63	3.36	0.59	1
turn around turn right walk straight and turn right to face the couch	-1	2.03	-1	1	0
place the book on the couch	-1	0.09	6.01	0.47	12
go to the striped chair to your right	-1	-1	-1	0.1348	0
pick up the deep learning book sitting on the chair	0.16	-1	-1	-0.14	11
take the book to the blue couch just to the left of the chair	-1	2.03	-1	1	0
set it on the right most cushion of the blue couch near the chair	7.08	0.36	1.33	0.59	2
turn to the right and walk to the chair take the book off of the chair	1.3	-1	-1	0.1348	3
turn to the right and walk to the chair take the book off of the chair turn to the left and walk to the coffee table then turn right to face the couch	1.3	2.75	2.03	0.1348	4
turn to the right and walk to the chair take the book off of the chair turn to the left and walk to the coffee table then turn right to face the couch place the book in the middle of the couch	1.3	2.75	2.03	0.1348	5
take the book off of the chair turn to the left and walk to the coffee table then turn right to face the couch	0.35	2.03	2.11	0.52	6
take the book off of the chair turn to the left and walk to the coffee table then turn right to face the couch place the book in the middle of the couch	0.19	2.03	2.23	0.76	7
turn to the left and walk to the coffee table then turn right to face the couch place the book in the middle of the couch	0.0	1.98	-1	0.37	8
turn left to face the sofa sea and walk to the sofa seat pick up the book on top of the sofa seat	1.3	-1	-1	0.1348	3
turn left to face the sofa sea and walk to the sofa seat pick up the book on top of the sofa seat turn around turn right walk straight and turn right to face the couch	1.3	2.75	2.03	0.1348	4
turn left to face the sofa sea and walk to the sofa seat pick up the book on top of the sofa seat turn around turn right walk straight and turn right to face the couch place the book on the couch	1.3	2.75	2.03	0.1348	5
pick up the book on top of the sofa seat turn around turn right walk straight and turn right to face the couch	0.47	2.03	1.95	-0.39	15
pick up the book on top of the sofa seat turn around turn right walk straight and turn right to face the couch place the book on the couch	0.04	2.03	2.15	0.58	7
turn around turn right walk straight and turn right to face the couch place the book on the couch	0.0	2.19	6.66	0.43	8
go to the striped chair to your right pick up the deep learning book sitting on the chair	1.3	-1	-1	0.1348	3
go to the striped chair to your right pick up the deep learning book sitting on the chair take the book to the blue couch just to the left of the chair	1.3	2.75	2.03	0.1348	4
go to the striped chair to your right pick up the deep learning book sitting on the chair take the book to the blue couch just to the left of the chair set it on the right most cushion of the blue couch near the chair	1.3	2.75	2.03	0.1348	5
pick up the deep learning book sitting on the chair take the book to the blue couch just to the left of the chair	0.42	2.03	2.04	0.86	6
pick up the deep learning book sitting on the chair take the book to the blue couch just to the left of the chair set it on the right most cushion of the blue couch near the chair	0.26	2.03	1.95	0.93	7
take the book to the blue couch just to the left of the chair set it on the right most cushion of the blue couch near the chair	0.0	2.01	6.3	0.15	8
put a book on the couch	1.29	1.54	1.89	0.7421	5
put a book on the couch	1.29	1.29	0.07	0.7421	9
put a book on the couch	0.45	1.89	1.98	0.65	7
put a book on the couch	0.27	0.43	0.31	0.85	10
put the book from the center table going to the sofa	1.29	1.54	1.89	0.7421	5
put the book from the center table going to the sofa	1.29	1.29	0.44	0.7421	9
put the book from the center table going to the sofa	0.31	1.89	1.91	0.81	7
put the book from the center table going to the sofa	0.25	0.3	0.26	0.91	10
move a book from the coffee table to the couch	1.29	1.54	1.89	0.7421	5
move a book from the coffee table to the couch	1.29	1.29	0.34	0.7421	9
move a book from the coffee table to the couch	0.26	1.89	2.01	-0.43	14
move a book from the coffee table to the couch	0.31	0.42	0.2	0.74	10
take a large step to your left	-1	-1	-1	0.7421	0
pick up the book entitled the effective engineer that's to the left of the laptop	0.4	2.39	2.92	-0.2	11
turn around to face the couch	-1	1.89	-1	1	0
put the book on the couch	-1	0.31	4.03	0.67	2
turn left then head to the center table	-1	-1	-1	0.7421	0
pick up the book at the center table	0.17	6.83	4.63	0.74	1
turn left face the sofa	-1	1.89	-1	1	0
put the book on the sofa	1.02	0.36	1.61	-0.98	12
turn left and walk towards the fireplace then turn right and walk up to the coffee table	-1	-1	-1	0.7421	0
pick up the book off of the coffee table	0.06	6.22	1.77	0.4	11
walk up to the couch behind you	-1	1.89	-1	1	0
put the book on the seat of the couch	-1	0.38	-1	0.1	12
take a large step to your left pick up the book entitled the effective engineer that's to the left of the laptop	1.29	-1	-1	0.7421	3
take a large step to your left pick up the book entitled the effective engineer that's to the left of the laptop turn around to face the couch	1.29	1.54	1.89	0.7421	4
take a large step to your left pick up the book entitled the effective engineer that's to the left of the laptop turn around to face the couch put the book on the couch	1.29	1.54	1.89	0.7421	5
pick up the book entitled the effective engineer that's to the left of the laptop turn around to face the couch	0.21	1.89	1.86	0.04	15
pick up the book entitled the effective engineer that's to the left of the laptop turn around to face the couch put the book on the couch	0.12	1.89	2.01	0.25	14
turn around to face the couch put the book on the couch	0.0	1.92	-1	-0.38	8
turn left then head to the center table pick up the book at the center table	1.29	-1	-1	0.7421	3
turn left then head to the center table pick up the book at the center table turn left face the sofa	1.29	1.54	1.89	0.7421	4
turn left then head to the center table pick up the book at the center table turn left face the sofa put the book on the sofa	1.29	1.54	1.89	0.7421	5
pick up the book at the center table turn left face the sofa	0.31	1.89	1.78	0.65	6
pick up the book at the center table turn left face the sofa put the book on the sofa	0.34	1.89	1.98	-0.56	14
turn left face the sofa put the book on the sofa	0.0	1.83	4.73	-0.31	8
turn left and walk towards the fireplace then turn right and walk up to the coffee table pick up the book off of the coffee table	1.29	-1	-1	0.7421	3
turn left and walk towards the fireplace then turn right and walk up to the coffee table pick up the book off of the coffee table walk up to the couch behind you	1.29	1.54	1.89	0.7421	4
turn left and walk towards the fireplace then turn right and walk up to the coffee table pick up the book off of the coffee table walk up to the couch behind you put the book on the seat of the couch	1.29	1.54	1.89	0.7421	5
